"id_poi","name","chaine","adr","cp","loc","tel","fax","numtva","mail","contact","web","cms","adrweb","classe","chambres","pms","pmsname","resa","resaname","resalocal","resadist","resadistname","evolutions","dcre"
9,"Hotel Infotel","","d'havré, 32","7000","MONS","065/40.18.30","065/35.62.24","0431.507.666","syc@hotelinfotel.be","Coclet Sylviane",1,1,"www.hotelinfotel.be",3,34,1,"PLANET WINNER",1,"webwinner",1,1,"BOOKING, HRS","pas d'évolution prévue","2013-09-12 14:00:11"
10,"BEST WESTERNPLUS Hotel |Aparthotel Casteau Resort Motel","BEST WESTERN","Chaussée de Bruxelles, 38","7061","CASTEAU","+32(0)65.32.04.00","+32(0)65.7287.44","0452.763.732","info@casteauresort.be","Pino LATTUCA",1,1,"www.casteauresort.be",3,90,0,"Brillant",1,"Cubilis et ratetiger",0,1,"booking,hrs,expedia,Best western et gds associés,hotels.be,venere","Travailler en 2 way
Voir évolution pour 2015 chez Best Western","2013-09-12 14:42:10"
11,"Appart-hôtel belle-Vue","","Rue de Belle-Vue 126","7100","La Louvière","064/431800","064/772231","0878.856.424","info@hotel-belle-vue.be","Salvatore Bellomo",1,0,"www.hotel-belle-vue.be",3,18,0,"",0,"",0,1,"Booking.com; Venere; HRS","","2013-09-12 15:10:19"
12,"Aquarelle*** Piscine-Hôtel","","rue de Scrawelle 64","7180","Seneffe","+32(0)64.239623","+32(0)64.239620","BE 0466503484","direction@hotelaquarelle.be","Fabrice Ciot",1,1,"www.hotelaquarelle.be",3,27,1,"HotelCom",1,"Cubilis",1,1,"Booking.com, HRS, HOTELSPECIALS.NL","Je pense changer mon PMS et améliorer mon SITE WEB. Pour le BOOKING ENGINE, je suis l'évolution du site GIE qui pourra certaine m'éclairer.
","2013-09-12 19:31:49"
13,"HOTEL TRISTAR","indépendant","PLace Maugrétout,5","7100","La louvière","064/236260","064/261423","BE-0833 374 015","info@hoteltristar.be","Fretto Vincent",1,0,"www.hoteltristar.be",4,29,0,"",1,"BBliverete",1,1,"booking.com,expedia,venere,HOtel.de agoda.com HRS.com","","2013-09-20 08:39:33"
14,"Le VAl-FAYT","","Rue de la Croyere, 21","7170","Fayt-Lez-Manage","064/23.90.85","064/23.90.89","Be 0457.054.102","reception@valfayt.be","Christelle Vandenplas",0,1,"www.valfayt.be",3,16,0,"PROTEL",1,"Cubilis",1,1,"Booking, HRs, BONGO","","2013-09-20 08:54:02"
15,"HOTEL IBIS MONS CENTRE GARE","ACCOR","BOULEVARD CHARLES-QUINT 27B","7000","MONS","0032/65.84.74.40","0032/65.84.74.41","BE0800.065.049","ibismons@cgmhotels.com","Visée Michaël ( Directeur)",1,1,"www.ibismons.be /www.ibis.com",3,72,1,"GHM GestHotel",1,"TARS",1,1,"BOOKINg - Expedia- HRS HOTEL.de- GDS ( Sabre-Pegasus-Galileo-Amadeus","Question à poser à Accor","2013-09-20 08:58:16"
16,"Le Monte Cristo","","Route d'Ath 119","7020","Mons","065.87.11.01","065.88.55.60","0480.530.773","info@monte-cristo.eu","Marc Lefrancq",1,0,"www.monte-cristo.eu",3,12,0,"",0,"",0,0,"Booking.com","","2013-09-20 09:00:54"
17,"BEST WESTERN PLUS HOTEL LIDO*** MONS CENTRE","BEST WESTERN","RUE DES ARBALESTRIERS 112","7000","MONS","+32 (0)65 327.800","+32 (0)65 843.722","0534.534.138","info@lido.be","MR THERASSE CHRISTOPHE",1,0,"www.lido.be",4,81,1,"well-pro",1,"Ratiger via BW - HOTELIER",0,1,"BOOKING - EXPEDIA -  HOTELIER - HRS - BEST WESTERN","Pour l'instant, rien en vue mais une évolution est prévue au niveau du cms ave best western 
mais pas encore de dates prévues pour ce changement.","2013-09-20 10:35:28"
18,"Hôtel St James","","Place de Flandre 8","7000","MONS","+3265724824","+3265724811","BE0473.635.657","hotelstjames@hotmail.com","",1,0,"http://www.hotelstjames.be",3,21,0,"",1,"Booking.com",0,0,"","","2013-09-20 19:08:22"
19,"Le Terminus","","Place Léopold II, 3","7000","Mons","065340564","065595610","0894179553","terminusmons@gmail.com","Rosa Ruttar",0,0,"le-terminus.be",2,12,0,"FitsHotel",0,"",0,1,"Booking.com","aucune","2013-09-21 16:42:50"
20,"Utopia Hotel","","Chaussée Brunehault, 392b","7050","Masnuy-saint-Jean","+32 65 84 87 85","","BE0830.775.207","info@utopia-hotel.com","Dominique Disséwiscourt",1,1,"www.utopia-hotel.com",3,33,1,"Protel",1,"Cubilis",1,1,"Booking, HRS, hotelspecials","","2013-10-22 08:46:57"
